source,participant_ID,target_word,comment,latency,duree_mot,condition,n_phonemes,Offset,Notes,word_duration,transcript,phoneme_count
s102balai_ov2_bmpnaming,s102,balai,ok,520.675,308.1983751,ov2,5,833,FALSE,312.325,bal,3
s102balance_neut_bmpnaming,s102,balance,ok,652.09,603.003344,neut,7,1246,FALSE,593.91,balɑ̃s,5
s102balance_ov2_bmpnaming,s102,balance,ok,510.255,682.4964851,ov2,7,1181,FALSE,670.745,balɑ̃s,5
s102barriere_neut_bmpnaming,s102,barriere,ok,687.622,608.739609,neut,8,1287,FALSE,599.378,baʀʀjəʀ,7
s102barriere_ov2_bmpnaming,s102,barriere,ok,577.426,653.0815404,ov2,8,1200,FALSE,622.574,baʀʀjəʀ,7
s102batterie_neut_bmpnaming,s102,batterie,ok,664.793,392.737329,neut,8,1057,FALSE,392.207,batəʀi,6
s102batterie_ov2_bmpnaming,s102,batterie,ok,576.109,460.3477987,ov2,8,1034,FALSE,457.891,batəʀi,6
s102bougie_neut_bmpnaming,s102,bougie,ok,587.524,390.9812129,neut,6,958,FALSE,370.476,buʒi,4
s102bougie_ov2_bmpnaming,s102,bougie,ok,525.284,356.4604013,ov2,6,864,FALSE,338.716,buʒi,4
s102bouton_neut_bmpnaming,s102,bouton,ok,583.133,463.8600309,neut,6,1044,FALSE,460.867,butɔ̃,4
s102bouton_ov2_bmpnaming,s102,bouton,ok,546.694,404.5911127,ov2,6,945,FALSE,398.306,butɔ̃,4
s102briquet_neut_bmpnaming,s102,briquet,ok,738.87,474.9539417,neut,7,1214,FALSE,475.13,bʀikɛ,5
s102briquet_ov2_bmpnaming,s102,briquet,ok,516.401,439.2744056,ov2,7,955,FALSE,438.599,bʀikɛ,5
s102bureau_neut_bmpnaming,s102,bureau,ok,708.981,325.5633579,neut,6,1033,FALSE,324.019,byʀo,4
s102bureau_ov2_bmpnaming,s102,bureau,ok,655.134,353.2247168,ov2,6,1004,FALSE,348.866,byʀo,4
